abandon,n. 放纵:constraint #v. 放纵：unrestrainedly #v. 放弃：withdraw #v. 停止做某事：put an end to,1
abase,v. 降低（地位、职位、威望或尊严）：lower,1
abash,v. 使尴尬; 使羞愧：self-confidence; embarrass,1
abate,v. 减轻（程度或者强度）：reduce; degree; intensity #v. 减少（数量）; 降低（价值）：reduce; amount; value,1
abbreviate,v.缩写; 缩短：briefer,1
abdicate,v.正式放弃（权力、责任）：throne,1
aberrant,adj.异常的; 非常规的：deviating,1
abet,v.帮助; 怂恿：assist or support #v.鼓励：encourage,1
abeyance,n.终止; 搁置：inactivity,1
abhor,vt.深恶痛绝; 极度厌恶：extreme repugnance,1
abiding,adj. 永久的：enduring,1
abject,adj.无精打采的：spiritless #adj.（地位、身份）悲惨、凄凉的：low state #adj.卑微的; 讨好的：humble,1
abjure,v.发誓放弃:rejecting; abandoning #v.抵制避免:resist,1
abnegate,v. 否认：deny; renounce #v. 投降; 放弃; 交出（权力等）：surrender; relinquish,1
abominate,v. 憎恶：abhor,1
aboveboard,adj. 无欺诈的; 光明正大的：free from; deceit or duplicity,1
abrade,v. 磨损; 精神上的折磨：wear away;  by friction,1
abridge,v. 缩短; 缩小：shorten #v.在不改变本意的条件下删减词语; 缩写：shorten,1
abrogate,v. 官方的正式废除：annul #v. 无视（某事的）存在：nonexistent,1
abscond,v. 偷偷离开：depart secretly,1
absolute,adj. 专制的：unconstrained # adj. 无限的unqualified # adj. 完美的; 纯净不惨杂的：free from imperfection;  mixture # adj. 不容置疑的; 确凿的：unquestionable,1
absolve,v. 使无罪; 解除责任：free from;  guilt;  exculpate,1
abstain,v. 自我克制; 主动戒绝：refrain;  by one’s own choice,1
abstemious,adj.（吃喝等）有节制的; 节俭的：restraint;  food or alcohol;  sparing,1
abstract,v. 做总结; 概括：abstract;  summarize #v.  使分心：away;  attention,1
abstruse,adj. 难以理解的：recondite,1
absurd,adj. 不合理的：unreasonable,1
abundant,adj. 大量的： great plenty,1
abuse,v. 辱骂; 抨击：condemn or vilify #v. 不正当的或不合理使用：wrong or improper use # v. 过分过量使用：use excessively,1
abut,v. 邻接; 毗邻：adjacent,1
abysmal,adj. 极低的; 极可怜的：immeasurably low #adj. （程度）很深的; 极端的：immeasurably great,1
accede,v. 赞成：approval;  consent # v. 就任; 就职：come into an office,1
accelerate,v. 加速：faster # v. 使提前发生：earlier #v. 变大; 变多：greater,1
accessible,adj. 可以达到的：within easy reach #adj. 可以理解的：understood #adj. 能够获得的：get,1
accessory,adj. 辅助的; 附属的：secondary;  supplementary;  subordinate #n. 帮凶：one;  wrongdoing,1
accidental,adj. 意外发生的; 偶然的：unexpectedly #adj. 附带的; 不重要的：not being a vital part,1
acclimate,v. 使适应：to change (something) so as to make it suitable,1
accolade,n. 同意; 赞赏：approval #v. 赞扬：praise,1
accommodate,v. 提供所需（例如服务、借贷、寄宿）：provide #v. 改变以适应新情况、新场景：make;  suitable #v. 使和谐：free of conflicts,1
accost,v. 以挑衅的形式搭讪：challenging or aggressive way,1
accrete,v. 逐渐增长：grow;  gradually,1
accumulate,v. 逐渐增长：increase gradually,1
acerbic,adj.（心情、心境或者语调）尖酸的：wit;  cause hurt feelings,1
acme,n. 顶点; 极点：highest #n. 最佳典范：most perfect type,1
acquiesce,v. 勉强同意 #默许：accept;  tacitly or passively,1
acrid,adj. 辛辣的; 刺鼻的：harsh;  taste;  odor #adj. 刻薄的：wit;  cause hurt feelings,1
acrimonious,adj. 刻薄的; 充满仇恨的：deep-seated resentment,1
acumen,n. 不同寻常的洞察力和鉴别力：exceptional discernment and judgment,1
acute,adj. 敏锐的：keen discernment # adj. 严重的; 急性的：immediate attention #adj. （程度、影响）极强的：extreme,1
adamant,adj. 固执的; 不可动摇的：unshakable;  unyielding;  inflexible,1
adapt,v. 修改; 使（适应）：modify,1
addict,v. 沉溺; 上瘾：surrender;  obsessively #n. 对某事上瘾的人：habitual liking,1
adhere,v. 依附; 粘着：stick #v. 服从; 遵守：according to the commands #v. 坚定地支持：steadfast support,1
adjourn,v. 延期; 休会：suspend #,1
adjunct,n. 附属物; 非必需部分：not essentially a part,1
ad-lib,adj. 即兴的：without previous thought or preparation,1
admonish,v. 建议：give advice #v. 责备：reprove gently,1
adore,v. 喜爱; 因···感到愉悦：pleasure #v. 宠爱：tenderness,1
adulate,v. 极度谄媚：praise too much,1
adulterate,v. 掺杂; 加入低等成分：impure;  addition,1
adumbrate,v. 部分地或有保留地揭露：disclose #v.  预示着：give a slight indication,1
adventitious,adj. 外来的; 后天的; 非内在的：not inherent or innate,1
adversary,n. 敌手; 对手：resists;  enemy,1
advert,v. 引起注意; 提到：refer,1
advocate,v. 支持; 提倡：support,1
affable,adj. 和蔼的; 温和的：ease;  friendliness,1
affinity,n. 喜欢; 倾向：attraction,1
affluent,adj. 富裕的：sufficient,1
aggrandize,v. 增加、提高（力量、财富、地位、声誉）等：enhance,1
aggravate,v. 加重; 恶化：worse;  serious;  severe #v. 使恼火,1
aggregate,n. 集合体：units or parts;  associated #v. 集合; 聚焦：collect or gather,1
aggressive,adj. 好斗的：attack #adj. 强有力的; 强烈的：forcefulness,1
aggrieve,v. 使苦恼; 使悲痛：pain;  trouble;  distress,1
agitate,v. 煽动; 激起：arouse #v. 使不安：trouble the mind;  disturb,1
agog,adj. 极度感兴趣的：urgent desire or interest,1
agonize,adj.（使）非常痛苦：deep sadness,1
airtight,adj. 无瑕疵的：no;  flaw #adj. 密封的; 不透气的：impermeable to air,1
alacrity,n. 反应迅速; 乐意; 欣然,1
alibi,n. 不在场的证明; 托辞; 借口：excuse,1
alienate,v. 疏远; 离间：make unfriendly #v. 转移; 变卖（财产或权利）：convey or transfer,1
align,v. 使排成一行：line #v. 调准; 校准：adjust,1
allay,v. 减轻：subdue;  reduce;  intensity or severity,1
allegiance,n. 忠诚：devotion or loyalty,1
alleviate,v. 缓和; 减轻：relieve;  lessen,1
allude,v. 间接提到：indirectly,1
allure,v. 吸引：attract or delight #v. 诱惑做（某事）lead;  pleasure or advantage,1
ally,n. 盟友; 支持者：association #v. 加入联盟：enter,1
aloft,adj. 在空中：in flight,1
aloof,adj. 孤高的; 不合群的：distant,1
altruism,n. 利他主义：unselfish,1
amalgamate,v. 合并; 混合：combine;  unified;  unite,1
ambiguous,adj. 有多种理解方式的; 不确定的：more than one;  doubt;  uncertain,1
